Journal,Name,Role,Gender,Country,Year of PhD,Anglophone Country,,,,,,,,,,,,,,,,,,,
PSP,William Clark,Board,Male,USA,1964,Yes,,,,,,,,,,,,,,,,,,,
EPB,J. Philip Steadman,Board,Male,UK,1966,Yes,,,,,,,,,,,,,,,,,,,
JGS,Keith Ord,Board,Male,USA,1967,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Michael Goodchild,Board,Male,USA,1969,Yes,,,,,,,,,,,,,,,,,,,
PSP,Russell King,Board,Male,UK,1970,Yes,,,,,,,,,,,,,,,,,,,
JTG,Peter Nijkamp,Board,Male,Netherlands,1972,No,,,,,,,,,,,,,,,,,,,
PSP,Tony Champion,Board,Male,UK,1972,Yes,,,,,,,,,,,,,,,,,,,
GA,Gordon Mulligan,Board,Male,USA,1972,Yes,,,,,,,,,,,,,,,,,,,
PSP,Philip Rees,Board,Male,UK,1973,Yes,,,,,,,,,,,,,,,,,,,
JTG,Kevin O'Connor,Associate Editor,Male,Australia,1974,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Daniel Czamanski,Board,Male,Israel,1974,No,,,,,,,,,,,,,,,,,,,
PSP,Paul White,Board,Male,UK,1974,Yes,,,,,,,,,,,,,,,,,,,
GA,Richard Church,Board,Male,USA,1974,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Atsuyuki Okabe,Board,Male,Japan,1975,No,,,,,,,,,,,,,,,,,,,
JGS,Harry J.P. Timmermans,Board,Male,Netherlands,1975,No,,,,,,,,,,,,,,,,,,,
GA,Roger Bivand,Board,Male,Norway,1975,No,,,,,,,,,,,,,,,,,,,
JTG,Gina Porter,Board,Female,UK,1975,Yes,,,,,,,,,,,,,,,,,,,
EPB,Helen Couclelis,Board,Female,USA,1977,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Donna Peuquet,Board,Female,USA,1977,Yes,,,,,,,,,,,,,,,,,,,
JTG,Derek Hall,Board,Male,UK,1978,Yes,,,,,,,,,,,,,,,,,,,
JGS,Daniel A. Griffith,Board,Male,USA,1978,Yes,,,,,,,,,,,,,,,,,,,
PSP,John Stillwell,Board,Male,UK,1979,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Alan MacEachren,Board,Male,USA,1979,Yes,,,,,,,,,,,,,,,,,,,
GA,Sara McLafferty,Board,Female,USA,1979,Yes,,,,,,,,,,,,,,,,,,,
GA,Denise Pumain,Board,Female,France,1980,No,,,,,,,,,,,,,,,,,,,
CEUS,Anthony Yeh,Board,Male,Hong Kong,1980,No,,,,,,,,,,,,,,,,,,,
EPB,Anthony Yeh,Board,Male,Hong Kong,1980,No,,,,,,,,,,,,,,,,,,,
PSP,Allan M Findlay,Board,Male,UK,1980,Yes,,,,,,,,,,,,,,,,,,,
GA,Luc Anselin,Board,Male,USA,1980,Yes,,,,,,,,,,,,,,,,,,,
GA,Stewart Fotheringham,Board,Male,USA,1980,Yes,,,,,,,,,,,,,,,,,,,
JGS,Luc Anselin,Board,Male,USA,1980,Yes,,,,,,,,,,,,,,,,,,,
JGS,Stewart Fotheringham,Board,Male,USA,1980,Yes,,,,,,,,,,,,,,,,,,,
PSP,Nigel Walford,Board,Male,UK,1981,Yes,,,,,,,,,,,,,,,,,,,
GA,David Plane,Board,Male,USA,1981,Yes,,,,,,,,,,,,,,,,,,,
JTG,Patricia L. Mokhtarian,Board,Female,USA,1981,Yes,,,,,,,,,,,,,,,,,,,
JGS,Manfred M. Fischer,Editor in Chief,Male,Austria,1982,No,,,,,,,,,,,,,,,,,,,
CEUS,Yuji Murayama,Board,Male,Japan,1982,No,,,,,,,,,,,,,,,,,,,
JTG,Javier Gutiérrez,Board,Male,Spain,1982,No,,,,,,,,,,,,,,,,,,,
GA,Peter Rogerson,Board,Male,USA,1982,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Stephen Hirtle,Associate Editor,Male,USA,1982,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Keith Clarke,Board,Male,USA,1982,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Paul Longley,Board,Male,UK,1983,Yes,,,,,,,,,,,,,,,,,,,
EPB,Paul Longley,Board,Male,UK,1983,Yes,,,,,,,,,,,,,,,,,,,
EPB,John Peponis,Board,Male,USA,1983,Yes,,,,,,,,,,,,,,,,,,,
GA,Jim LeSage,Board,Male,USA,1983,Yes,,,,,,,,,,,,,,,,,,,
JGS,James P. LeSage,Board,Male,USA,1983,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Isabelle Thomas,Board,Female,Belgium,1984,No,,,,,,,,,,,,,,,,,,,
GA,Isabelle Thomas,Board,Female,Belgium,1984,No,,,,,,,,,,,,,,,,,,,
JGS,Isabelle Thomas,Board,Female,Belgium,1984,No,,,,,,,,,,,,,,,,,,,
JGS,Christine Thomas-Agnan,Board,Female,France,1984,No,,,,,,,,,,,,,,,,,,,
CEUS,Itzhak Benenson,Associate Editor,Male,Israel,1984,No,,,,,,,,,,,,,,,,,,,
CEUS,Michael Batty,Board,Male,UK,1984,Yes,,,,,,,,,,,,,,,,,,,
EPB,Michael Batty,Editor in Chief,Male,UK,1984,Yes,,,,,,,,,,,,,,,,,,,
EPB,Yoshiki Yamagata,Board,Male,Japan,1985,No,,,,,,,,,,,,,,,,,,,
JGS,Bernard Fingleton,Board,Male,UK,1985,Yes,,,,,,,,,,,,,,,,,,,
PSP,Richard Wright,Board,Male,USA,1985,Yes,,,,,,,,,,,,,,,,,,,
JGS,Jouke van Dijk,Board,Male,Netherlands,1986,No,,,,,,,,,,,,,,,,,,,
IJGIS,Shih-Lung Shaw,Board,Male,USA,1986,Yes,,,,,,,,,,,,,,,,,,,
JTG,John T. Bowen,Board,Male,USA,1986,Yes,,,,,,,,,,,,,,,,,,,
JTG,Shih-Lung Shaw,Board,Male,USA,1986,Yes,,,,,,,,,,,,,,,,,,,
TGIS,John Wilson,Editor in Chief,Male,USA,1986,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Brian Lees,Board,Male,Australia,1987,Yes,,,,,,,,,,,,,,,,,,,
JGS,Henk Folmer,Board,Male,Netherlands,1987,No,,,,,,,,,,,,,,,,,,,
GA,Peter M Atkinson,Board,Male,UK,1987,Yes,,,,,,,,,,,,,,,,,,,
JTG,Andrew Goetz,Board,Male,USA,1987,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Tapani Sarjakoski-Masala,Board,Male,Finland,1988,No,,,,,,,,,,,,,,,,,,,
JGS,Roger Bivand,Board,Male,Norway,1988,No,,,,,,,,,,,,,,,,,,,
PSP,Gunnar Malmberg,Board,Male,Sweden,1988,No,,,,,,,,,,,,,,,,,,,
CEUS,William Mackaness,Board,Male,UK,1988,Yes,,,,,,,,,,,,,,,,,,,
PSP,Emily Grundy,Board,Female,UK,1988,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Jean-Claude Thill,Board,Male,USA,1988,Yes,,,,,,,,,,,,,,,,,,,
GA,Janet Franklin,Board,Female,USA,1988,Yes,,,,,,,,,,,,,,,,,,,
